id,title,authors,link,tags,originally_announced_at
65,Visualizing and Understanding Recurrent Networks,"['Andrej Karpathy', 'Justin Johnson', 'Li Fei-Fei']",https://arxiv.org/abs/1506.02078,"['cs.LG', 'cs.CL', 'cs.NE']","Submitted 16 November, 2015; v1 submitted 5 June, 2015;
      originally announced June 2015."
66,Knowledge Transfer Pre-training,"['Zhiyuan Tang', 'Dong Wang', 'Yiqiao Pan', 'Zhiyong Zhang']",https://arxiv.org/abs/1506.02256,"['cs.LG', 'cs.NE', 'stat.ML']","Submitted 7 June, 2015; 
      originally announced June 2015."
67,Learning to Transduce with Unbounded Memory,"['Edward Grefenstette', 'Karl Moritz Hermann', 'Mustafa Suleyman', 'Phil Blunsom']",https://arxiv.org/abs/1506.02516,"['cs.NE', 'cs.CL', 'cs.LG']","Submitted 3 November, 2015; v1 submitted 8 June, 2015;
      originally announced June 2015."
68,Neural Adaptive Sequential Monte Carlo,"['Shixiang Gu', 'Zoubin Ghahramani', 'Richard E. Turner']",https://arxiv.org/abs/1506.03338,"['cs.LG', 'stat.ML']","Submitted 16 November, 2015; v1 submitted 10 June, 2015;
      originally announced June 2015."
69,"Listen, Attend, and Walk: Neural Mapping of Navigational Instructions to Action Sequences","['Hongyuan Mei', 'Mohit Bansal', 'Matthew R. Walter']",https://arxiv.org/abs/1506.04089,"['cs.CL', 'cs.AI', 'cs.LG', 'cs.NE', 'cs.RO']","Submitted 17 December, 2015; v1 submitted 12 June, 2015;
      originally announced June 2015."
70,Deep Knowledge Tracing,"['Chris Piech', 'Jonathan Spencer', 'Jonathan Huang', 'Surya Ganguli', 'Mehran Sahami', 'Leonidas Guibas', 'Jascha Sohl-Dickstein']",https://arxiv.org/abs/1506.05908,"['cs.AI', 'cs.CY', 'cs.LG']","Submitted 19 June, 2015; 
      originally announced June 2015."
71,"Parallel Multi-Dimensional LSTM, With Application to Fast Biomedical Volumetric Image Segmentation","['Marijn F. Stollenga', 'Wonmin Byeon', 'Marcus Liwicki', 'Juergen Schmidhuber']",https://arxiv.org/abs/1506.07452,"['cs.CV', 'cs.LG']","Submitted 24 June, 2015; 
      originally announced June 2015."
72,Occam's Gates,"['Jonathan Raiman', 'Szymon Sidor']",https://arxiv.org/abs/1506.08251,['cs.LG'],"Submitted 26 June, 2015; 
      originally announced June 2015."
73,Dependency Recurrent Neural Language Models for Sentence Completion,"['Piotr Mirowski', 'Andreas Vlachos']",https://arxiv.org/abs/1507.01193,"['cs.CL', 'cs.AI', 'cs.LG']","Submitted 5 July, 2015; 
      originally announced July 2015."
74,Fast and Accurate Recurrent Neural Network Acoustic Models for Speech Recognition,"['Haşim Sak', 'Andrew Senior', 'Kanishka Rao', 'Françoise Beaufays']",https://arxiv.org/abs/1507.06947,"['cs.CL', 'cs.LG', 'cs.NE', 'stat.ML']","Submitted 24 July, 2015; 
      originally announced July 2015."
75,EESEN: End-to-End Speech Recognition using Deep RNN Models and WFST-based Decoding,"['Yajie Miao', 'Mohammad Gowayyed', 'Florian Metze']",https://arxiv.org/abs/1507.08240,"['cs.CL', 'cs.LG']","Submitted 18 October, 2015; v1 submitted 29 July, 2015;
      originally announced July 2015."
76,Time-series modeling with undecimated fully convolutional neural networks,['Roni Mittelman'],https://arxiv.org/abs/1508.00317,"['stat.ML', 'cs.LG']","Submitted 3 August, 2015; 
      originally announced August 2015."
77,Relation Classification via Recurrent Neural Network,"['Dongxu Zhang', 'Dong Wang']",https://arxiv.org/abs/1508.01006,"['cs.CL', 'cs.LG', 'cs.NE']","Submitted 24 December, 2015; v1 submitted 5 August, 2015;
      originally announced August 2015."
78,Interference Alignment Designs for Secure Multiuser MIMO Systems: Rank Constrained Rank Minimization Approach,"['Tung T. Vu', 'Ha Hoang Kha', 'Trung Q. Duong']",https://arxiv.org/abs/1508.01169,"['cs.IT', 'math.OC']","Submitted 3 August, 2015; 
      originally announced August 2015."
79,Reward Shaping with Recurrent Neural Networks for Speeding up On-Line Policy Learning in Spoken Dialogue Systems,"['Pei-Hao Su', 'David Vandyke', 'Milica Gasic', 'Nikola Mrksic', 'Tsung-Hsien Wen', 'Steve Young']",https://arxiv.org/abs/1508.03391,"['cs.LG', 'cs.CL']","Submitted 18 August, 2015; v1 submitted 13 August, 2015;
      originally announced August 2015."
80,Character-Aware Neural Language Models,"['Yoon Kim', 'Yacine Jernite', 'David Sontag', 'Alexander M. Rush']",https://arxiv.org/abs/1508.06615,"['cs.CL', 'cs.NE', 'stat.ML']","Submitted 1 December, 2015; v1 submitted 26 August, 2015;
      originally announced August 2015."
81,DAG-Recurrent Neural Networks For Scene Labeling,"['Bing Shuai', 'Zhen Zuo', 'Gang Wang', 'Bing Wang']",https://arxiv.org/abs/1509.00552,['cs.CV'],"Submitted 23 November, 2015; v1 submitted 1 September, 2015;
      originally announced September 2015."
82,Recurrent Reinforcement Learning: A Hybrid Approach,"['Xiujun Li', 'Lihong Li', 'Jianfeng Gao', 'Xiaodong He', 'Jianshu Chen', 'Li Deng', 'Ji He']",https://arxiv.org/abs/1509.03044,"['cs.LG', 'cs.AI', 'eess.SY']","Submitted 19 November, 2015; v1 submitted 10 September, 2015;
      originally announced September 2015."
83,Recurrent Neural Networks for Driver Activity Anticipation via Sensory-Fusion Architecture,"['Ashesh Jain', 'Avi Singh', 'Hema S Koppula', 'Shane Soh', 'Ashutosh Saxena']",https://arxiv.org/abs/1509.05016,"['cs.CV', 'cs.AI', 'cs.RO']","Submitted 16 September, 2015; 
      originally announced September 2015."
84,Recurrent Spatial Transformer Networks,"['Søren Kaae Sønderby', 'Casper Kaae Sønderby', 'Lars Maaløe', 'Ole Winther']",https://arxiv.org/abs/1509.05329,['cs.CV'],"Submitted 17 September, 2015; 
      originally announced September 2015."
85,The ICSTM+TUM+UP Approach to the 3rd CHIME Challenge: Single-Channel LSTM Speech Enhancement with Multi-Channel Correlation Shaping Dereverberation and LSTM Language Models,"['Amr El-Desoky Mousa', 'Erik Marchi', 'Björn Schuller']",https://arxiv.org/abs/1510.00268,['cs.SD'],"Submitted 1 October, 2015; 
      originally announced October 2015."
86,Batch Normalized Recurrent Neural Networks,"['César Laurent', 'Gabriel Pereyra', 'Philémon Brakel', 'Ying Zhang', 'Yoshua Bengio']",https://arxiv.org/abs/1510.01378,"['stat.ML', 'cs.LG', 'cs.NE']","Submitted 5 October, 2015; 
      originally announced October 2015."
87,A Waveform Representation Framework for High-quality Statistical Parametric Speech Synthesis,"['Bo Fan', 'Siu Wa Lee', 'Xiaohai Tian', 'Lei Xie', 'Minghui Dong']",https://arxiv.org/abs/1510.01443,"['cs.SD', 'cs.LG']","Submitted 6 October, 2015; 
      originally announced October 2015."
88,Feedforward Sequential Memory Neural Networks without Recurrent Feedback,"['ShiLiang Zhang', 'Hui Jiang', 'Si Wei', 'LiRong Dai']",https://arxiv.org/abs/1510.02693,"['cs.NE', 'cs.CL', 'cs.LG']","Submitted 9 October, 2015; 
      originally announced October 2015."
89,Optimizing and Contrasting Recurrent Neural Network Architectures,['Ben Krause'],https://arxiv.org/abs/1510.04953,"['stat.ML', 'cs.LG', 'cs.NE']","Submitted 16 October, 2015; 
      originally announced October 2015."
90,Part-of-Speech Tagging with Bidirectional Long Short-Term Memory Recurrent Neural Network,"['Peilu Wang', 'Yao Qian', 'Frank K. Soong', 'Lei He', 'Hai Zhao']",https://arxiv.org/abs/1510.06168,['cs.CL'],"Submitted 21 October, 2015; 
      originally announced October 2015."
91,On End-to-End Program Generation from User Intention by Deep Neural Networks,"['Lili Mou', 'Rui Men', 'Ge Li', 'Lu Zhang', 'Zhi Jin']",https://arxiv.org/abs/1510.07211,"['cs.SE', 'cs.LG']","Submitted 25 October, 2015; 
      originally announced October 2015."
92,Prediction-Adaptation-Correction Recurrent Neural Networks for Low-Resource Language Speech Recognition,"['Yu Zhang', 'Ekapol Chuangsuwanich', 'James Glass', 'Dong Yu']",https://arxiv.org/abs/1510.08985,"['cs.CL', 'cs.LG', 'cs.NE', 'eess.AS']","Submitted 30 October, 2015; 
      originally announced October 2015."
93,A Unified Tagging Solution: Bidirectional LSTM Recurrent Neural Network with Word Embedding,"['Peilu Wang', 'Yao Qian', 'Frank K. Soong', 'Lei He', 'Hai Zhao']",https://arxiv.org/abs/1511.00215,['cs.CL'],"Submitted 1 November, 2015; 
      originally announced November 2015."
94,Automatic Prosody Prediction for Chinese Speech Synthesis using BLSTM-RNN and Embedding Features,"['Chuang Ding', 'Lei Xie', 'Jie Yan', 'Weini Zhang', 'Yang Liu']",https://arxiv.org/abs/1511.00360,"['cs.CL', 'cs.SD']","Submitted 1 November, 2015; 
      originally announced November 2015."
95,Alternative structures for character-level RNNs,"['Piotr Bojanowski', 'Armand Joulin', 'Tomas Mikolov']",https://arxiv.org/abs/1511.06303,"['cs.LG', 'cs.CL']","Submitted 24 November, 2015; v1 submitted 19 November, 2015;
      originally announced November 2015."
96,Spoken Language Translation for Polish,"['Krzysztof Marasek', 'Łukasz Brocki', 'Danijel Korzinek', 'Krzysztof Wołk', 'Ryszard Gubrynowicz']",https://arxiv.org/abs/1511.07788,['cs.CL'],"Submitted 24 November, 2015; 
      originally announced November 2015."
97,rnn : Recurrent Library for Torch,"['Nicholas Léonard', 'Sagar Waghmare', 'Yang Wang', 'Jin-Hwa Kim']",https://arxiv.org/abs/1511.07889,['cs.NE'],"Submitted 17 December, 2015; v1 submitted 24 November, 2015;
      originally announced November 2015."
